numeric1,numeric2,numeric3,numeric4,numeric5,numeric6,numeric7,numeric8,numeric9,numeric10,numeric11,numeric12,numeric13,label,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39
0,8,0,0,0,1,1,1,66,0,40,0,0,0,17,58,50,73,0,5,113,1,0,25,110,51,108,1,102,61,0,86,0,1,58,0,1,68,8,47
0,0,0,0,0,0,3,2,8,0,20,5,0,0,3,29,0,74,0,1,114,5,0,2,111,0,109,1,103,0,2,84,32,3,0,1,8,69,4,48
0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,10,1,0,115,5,1,2,112,0,52,2,15,0,8,15,0,1,0,0,7,9,4,49
0,0,0,14,0,1,3,5,21,0,13,0,1,0,3,59,0,75,0,5,116,1,0,78,113,0,110,2,104,62,7,87,0,0,0,0,6,70,4,50
0,0,0,0,1,0,0,0,3,0,34,0,0,0,0,51,0,10,1,0,117,1,0,79,114,0,111,2,105,0,0,88,33,0,0,1,1,71,11,51
0,156,0,0,0,0,0,6,9,0,27,0,0,0,14,24,5,2,0,0,118,1,0,51,77,6,75,5,106,6,0,89,1,2,6,0,1,2,1,2
6,0,0,0,0,0,1,0,0,0,20,0,0,1,6,29,0,10,0,3,119,1,0,80,115,0,112,1,103,0,0,84,26,3,0,0,1,9,4,2
3,0,0,0,0,0,8,3,6,249,115,0,0,0,18,11,51,57,1,0,12,1,0,81,11,52,11,2,107,63,0,40,1,2,59,3,1,53,1,2
2,0,0,7,0,0,0,0,0,249,13,0,0,0,7,60,52,76,5,0,120,5,0,82,116,53,113,2,108,64,1,90,0,0,60,0,1,72,12,52
0,137,0,0,2,0,2,0,0,0,13,1,0,0,3,20,0,10,0,0,121,1,0,20,25,0,25,1,109,0,3,23,14,3,0,0,1,73,4,2
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,61,0,77,0,4,122,1,0,2,117,0,114,1,110,0,3,91,0,3,0,0,1,74,0,53
0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,62,53,78,3,5,123,1,0,2,118,54,115,0,111,65,4,92,1,2,61,0,2,75,1,2
0,0,0,4,7,0,0,0,2,0,0,0,0,0,3,1,1,1,0,5,124,1,0,83,119,1,116,1,1,1,3,1,0,1,1,0,1,1,2,1
0,68,0,5,0,0,0,0,0,0,0,0,0,0,3,11,54,33,9,0,125,1,1,2,120,55,117,1,112,66,8,40,1,2,62,0,2,30,1,2
0,0,0,0,13,0,0,0,3,0,0,0,0,0,16,12,0,10,3,3,126,5,0,84,121,0,118,2,51,0,0,12,34,3,0,0,1,9,13,2
0,0,1,19,0,0,0,8,2,0,6,0,1,0,0,0,55,32,0,0,53,1,0,31,122,56,50,0,78,67,5,53,0,1,63,1,0,18,0,36
0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,11,0,79,0,5,5,1,0,2,5,0,5,2,113,68,4,93,1,2,0,0,2,18,1,2
8,1,0,8,0,0,0,0,0,124,6,0,0,1,3,17,23,32,0,0,127,0,0,85,38,24,37,6,74,26,1,39,6,1,25,0,1,18,0,13
6,3,0,1,0,0,0,0,0,124,6,0,0,1,0,63,0,10,4,1,128,1,0,86,123,0,119,2,114,0,0,94,35,0,0,0,6,76,14,54
0,3,0,2,38,0,0,2,0,0,0,0,0,0,0,38,2,2,0,5,129,4,1,87,124,2,120,1,115,2,5,95,1,2,2,3,1,2,1,2
25,138,0,1,0,0,3,5,1,249,34,0,0,0,3,48,0,10,0,0,12,6,0,88,11,0,11,0,83,0,0,70,1,2,0,0,9,9,1,2
1,0,0,2,0,0,1,2,16,124,27,0,0,0,3,64,0,80,0,5,130,1,0,89,125,0,108,7,116,0,2,96,1,2,0,0,1,77,1,2
0,0,0,4,4,0,0,0,1,0,13,0,0,0,0,17,0,81,10,2,131,5,0,90,126,0,121,0,117,69,6,19,0,0,0,0,0,78,0,55
10,1,0,7,0,0,0,1,0,124,6,0,0,0,3,17,0,10,0,0,21,1,0,2,30,0,20,0,117,0,0,19,1,3,0,3,1,20,0,9
0,0,0,2,0,3,0,2,31,0,0,127,0,0,7,65,53,78,2,1,132,4,0,2,127,54,122,0,118,65,2,97,0,0,61,0,7,75,11,56
0,0,0,0,1,0,0,0,0,0,13,0,0,1,19,11,0,10,0,4,13,1,0,91,12,0,12,2,119,0,0,98,1,2,0,0,1,9,1,2
1,0,0,8,0,0,0,1,9,124,6,0,0,1,0,66,56,82,2,0,133,0,0,92,128,57,123,2,120,70,0,99,1,2,64,0,1,79,1,2
1,0,0,2,0,0,0,2,3,0,20,0,0,0,20,36,0,10,3,5,134,5,0,93,129,0,124,2,121,0,0,100,0,3,0,0,1,80,4,57
0,9,0,5,6,0,0,3,0,0,0,0,0,0,3,67,0,83,0,1,135,5,0,94,130,58,125,1,122,71,0,101,1,2,65,0,6,4,1,2
3,0,0,0,0,0,0,0,0,124,6,0,0,0,3,17,0,84,0,4,136,0,0,11,131,0,126,7,123,72,1,19,36,1,0,0,1,18,0,58
0,0,0,0,2,0,0,0,1,0,13,0,0,0,3,68,57,85,0,1,21,16,0,2,20,59,20,1,124,73,1,102,1,2,66,0,0,18,1,2
0,0,0,1,0,0,0,4,36,0,0,0,0,0,0,12,58,86,0,0,137,1,0,2,132,60,127,2,51,74,4,12,37,3,67,1,2,81,3,59
1,17,0,4,0,0,0,7,5,124,27,0,0,1,3,24,5,2,0,0,6,1,0,11,133,6,128,6,30,6,0,28,1,2,6,3,7,2,1,2
0,75,0,13,0,0,0,3,1,0,0,0,2,0,0,24,5,2,4,5,63,5,0,2,61,6,60,6,30,6,4,28,1,2,6,0,0,2,1,2
7,67,0,0,0,0,2,0,1,124,20,0,0,1,3,69,59,87,0,0,138,1,0,95,134,61,129,1,125,75,0,103,0,3,68,3,0,18,0,38
0,0,0,11,13,0,0,1,0,0,0,0,1,0,3,40,0,10,0,0,139,1,0,96,135,0,130,1,126,0,0,52,1,2,0,0,0,9,1,2
5,0,0,2,0,0,0,0,0,124,6,0,0,1,3,5,3,5,0,0,140,17,0,11,136,4,131,2,5,4,1,5,1,2,4,0,0,5,1,2
3,1,0,1,0,0,1,0,0,0,6,0,0,0,0,70,60,88,0,4,141,1,0,97,3,62,3,1,127,76,0,104,1,2,69,0,1,82,1,2
0,0,0,33,2,0,0,0,1,0,6,0,3,0,3,17,23,32,5,2,142,1,0,16,24,24,24,0,41,26,0,39,6,3,25,0,0,18,0,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,5,2,3,0,115,1,1,2,112,6,52,2,128,6,8,105,1,2,6,0,7,2,1,2
3,6,0,14,0,0,1,1,0,124,20,0,0,1,3,17,61,89,0,2,143,1,0,98,137,63,132,0,117,77,0,19,38,0,70,0,8,83,0,60
1,2,2,32,0,0,0,9,1,124,0,0,6,0,3,36,0,10,5,5,7,1,0,70,138,0,7,2,53,0,0,48,0,1,0,0,1,84,4,61
2,0,0,0,0,0,0,0,0,124,6,0,0,0,0,24,5,2,0,1,144,1,0,89,139,6,21,6,30,6,1,28,1,2,6,0,0,2,1,2
2,0,0,11,0,0,4,8,19,249,81,0,0,1,3,0,55,32,0,4,145,1,0,99,140,56,133,1,59,67,7,53,0,1,63,0,8,18,0,25
2,0,2,26,0,0,1,6,7,124,34,0,3,0,0,11,0,10,3,0,12,1,0,100,11,0,11,1,129,0,0,106,1,2,0,0,1,85,1,2
0,19,0,0,0,0,0,2,12,0,6,0,0,0,3,24,5,2,0,0,81,1,0,52,58,6,57,6,30,6,1,28,1,2,6,1,7,2,1,2
0,0,0,26,0,0,1,9,15,0,20,0,5,0,3,45,0,10,0,0,146,5,0,101,141,0,134,2,77,0,0,67,0,1,0,0,1,86,12,49
